id,band,title,year
201,330,Those Who Have Lost the Right to Exist,1993
202,332,Balkanization,2011
203,342,The End of Humanity,2015
204,343,Negative World,2007
205,345,Liar in Wait,2012
206,346,Ecclesiastical Damnation,2016
207,347,Among Gods,2012
208,347,Monument,2014
209,347,Ghost Empire,2016
210,349,Invidia,1998
211,351,Invisible Fire,2015
212,354,Crimson Highway,2015
213,361,Ode to Gore,2015
214,362,Dear Perfect Hysteria,2007
215,365,In Prayer to Lamashtu,2016
216,366,123 FistFuck,2012
217,367,Stench like Six Demons,2003
218,367,Red Revolution,2004
219,375,Godmachine,1998
220,375,Moribund,2000
221,375,Dying,2004
222,381,Substratum,2011
223,382,Legion Anti-Christ,2001
224,382,Kill the Forgiveness,2002
225,382,Return to Hell,2007
226,384,Ancestor,2001
227,386,Asifonías para cerdos,2011
228,388,Demoniac Holocaust,2002
229,388,Huge Blackness,2005
230,389,The Grim Awakening,2011
231,389,Echoes and Cinder,2014
232,394,Night Eternal,2003
233,394,Hate Is the Law,2007
234,394,Death Fucking Metal,2008
235,408,Guillain Barre,1996
236,409,Odiumspace,2003
237,414,Soulless Endeavors of the Hopeless,2015
238,417,Forgotten World,2007
239,418,The Proclamation,2016
240,421,Camins sense destí,2014
241,426,Everlasting,2005
242,426,More than Just Flesh and Blood,2011
243,432,Deathwish,2012
244,437,Chaos| Blood| Death| Murder... Hatred,2004
245,444,Disforic Agony,1997
246,447,...and the Vomiting Continues...,2002
247,449,Am Anfang war das Ende,1998
248,451,Infinite Mutable Fundamental Form,2004
249,452,Digging Past Sounds,2012
250,453,Intense Perversion,2010
251,457,030550,2007
252,457,Traitors,2009
253,461,Phosphorus,2014
254,462,Evidence of Human Misery,2006
255,466,At the Fields of Slaughter,2012
256,469,Anticipation,2003
257,469,Falling,2006
258,473,No Hope| No Future... Just W.A.R.!,2005
259,476,Senseless,2013
260,477,Creando el dolor,1996
261,477,En el umbral del caos,1998
262,477,Todos morirán hoy,2004
263,477,Bestiario,2008
264,479,Blinded by the Light,2013
265,480,Engendro,2003
266,481,Pure,1998
267,481,Evangelivm Nekromantia,2012
268,481,Rites ov Perversion,2014
269,485,To Whom It May Concern,2005
270,485,Angstnation,2011
271,486,Attic of Disembowelment,2008
272,486,Loathe Exert Interplay,2008
273,494,Within Darkness,2016
274,495,Earth Entangled,2014
275,496,Off the Beaten Path,2001
276,496,Tainted Purity,2005
277,496,Tempest of Eternity,2009
278,496,The Great Ruiner,2015
279,498,Opening the Silos,2011
280,499,American Scumbags,2006
281,502,Ilusiones morbosas,2009
282,506,Doomsday Device,2006
283,506,Leave None Living,2008
284,510,Ritual Entombment,2014
285,514,Conquerors Beyond the Stars,2015
286,515,Gateway to the Underworld,1993
287,515,Down in the Valley,1996
288,515,Heliopolis,1998
289,515,I Am Your Blindness,2005
290,516,Into the Chaos,2015
291,518,Infection,1996
292,518,Life| Thoughts & Destiny,2000
293,519,Tears of the Unborn,1995
294,519,Monarchy of Damned,1999
295,521,Aposento,2014
296,526,Dernières louanges,2002
297,533,Diseased and Burned to Rest,2009
298,537,Blood Eagle,2016
299,537,Divergent Reflections,2016
300,537,Shoreside Shambler,2016
301,537,Winter's Frosts,2016
302,537,Acts to Continue in Breathless Sleep,2016
303,537,Human Consciousness Experiment,2016
304,537,Permeation Formation,2016
305,538,Severe Life Reality,2004
306,538,Hate and Pain,2009
307,539,Compelled to Distort,2007
308,540,Kaal Bhairav,2008
309,542,Chronicles of a Dead Man,2012
310,547,In Limine Mortis,2004
311,548,Cascade,1997
312,550,What If You Die Tomorrow...,2007
313,557,Archimime,2016
314,558,Democracy : Consent to Domination,2006
315,558,Acts of God: 4000 Years of Phallusy,2009
316,559,Brutal Assertion of Authority,2010
317,565,Arhont,2008
318,566,Decade of Necrosodomy,2014
319,573,Absolute,1999
320,573,Believe in Myself,2004
321,574,Noreturn Sickness,2008
322,578,Rebellion My Religion,2014
323,579,Invisible Circle,1993
324,579,Death Then Nothing,2009
325,579,Thanatology,2013
326,583,Immortal Identity,2010
327,587,Flashback,2001
328,588,System Phoeto,2005
329,592,Impulse to Mutilation,2015
330,605,Kaybolmuş Masumiyet,1995
331,608,Uncured Sickness,1994
332,608,Storm of Dilemmas,2001
333,609,The Offering,2009
334,609,Create/Conquer/Destroy,2011
335,613,Ascension,2003
336,614,Don't Stop When You Walk Through the Hell,2016
337,616,To a Golden Age,1996
338,617,Abandon All Light,2015
339,617,Children of the Chainsaw,2016
340,619,Ashen Earth,2013
341,620,Somewhere Behind the Nervecell,2008
342,620,Sunshine Above the Grave,2012
343,623,At the Dawn of Your Deterioration,2005
344,623,Legacy of Hatred,2007
345,625,Armageddon,1997
346,632,Inferno,1997
347,643,Trapped Between Two Worlds,1997
348,649,Saint Death,2010
349,651,War| Death| Destruction and Chocolate,2009
350,652,Bullen les calderes,2012
351,652,Territori hostil,2014
352,653,Falling Down,2009
353,658,Bound to Carrion,1998
354,669,Abomination,2011
355,671,Ballistically Reconfigured,2004
356,672,At the Grave,2014
357,673,From Sorrow to Hope,2013
358,675,Existence Indifferent,2005
359,676,Light of Repentance,2015
360,676,Superstitions,2016
361,678,Revelations of the Ethereal,2012
362,680,Calignious,2014
363,681,Ataxia.F,2008
364,681,20.16,2016
365,682,Horns of Evil,2014
366,684,Alpha Theistic,2012
367,690,Capital Punishment,2014
368,690,Vicious Circle,2015
369,696,Sights of Suffering,2014
370,697,Atomic Death Metal,2012
371,697,Iron Flesh,2015
372,701,Encased,2012
373,701,Trail of Entrails,2016
374,704,In Obscuritas,2015
375,710,Der Tag des dümmsten Gesichts,2004
376,711,Om Ah Hum Vajra Guru Padma Siddhi Hum,2016
377,719,Crackdown,2010
378,720,The Source of Dominion,1991
379,727,Severed Survival,1989
380,727,Mental Funeral,1991
381,727,Acts of the Unspeakable,1992
382,727,Shitfun,1995
383,727,Macabre Eternal,2011
384,727,The Headless Ritual,2013
385,727,Tourniquets| Hacksaws and Graves,2014
386,728,Orgy with the Dead,2002
387,728,Tormentorium,2003
388,728,Graveyard Creatures,2005
389,730,Autumn Nostrum,1996
390,739,Eminence in Putrescence,1996
391,739,Stabwound Orgasm,1999
392,739,Yearning for the Grotesque,2003
393,739,Gorespattered Suicide,2005
394,739,Nullo (The Pleasure of Self-Mutilation),2009
395,739,Ritual Zombi,2013
396,740,Dimensions of Darkness,1996
397,740,Indoctrination into the Cult of Death,2003
398,743,Dead Inside,2009
399,743,After Execution,2012
400,748,A Wretched Disgust,2012
401,751,Pure Slaughter,2005
402,751,Marching Towards Destruction,2009
403,752,Leper Viper,2004
404,752,War Anthems,2007
405,758,Forced to Devour,2012
406,759,The Act of Eye,2016
407,760,Die with Us,2011
408,760,Bringer of Terror,2015
409,762,There Shall Be No Answer,1995
410,763,Primordial,2008
411,764,Confinement,2014
412,766,The Inner Death,2005
413,769,The Binary Choice,2004
414,770,Lure of the Occult,2012
415,774,Ash to Ash,2007
416,780,Deliver Me unto Pain,1993
417,781,Minotaur,2011
418,782,Inheritors of the Dead,1991
419,782,The Dead Shall Inherit,1992
420,788,La obscuridad prevalece,2013
421,788,De la obscuridad a la muerte,2015
422,789,Southern Pandemonic Invocations,2015
423,790,Burning Rituals,2012
424,794,Forced Out Fetus,2015
425,795,Be Addicted to Suffering Pain,2002
426,795,Pandemic,2008
427,798,Aftermath,2010
428,801,What Lies Beyond,2015
429,802,Under the Hammer of Destruction,2010
430,802,Ghouls of the Endless Night,2011
431,803,Betraying Us All,2013
432,803,Devils Mask,2014
433,805,Made in Germany,2005
434,809,Kill Now| Question Later,2008
435,809,Disfigured Dementia,2010
436,810,Winter Campaign,2005
437,810,Welcome to the Warzone,2008
438,810,Only the Dead Have Seen the End of War,2014
439,813,Victims,2008
440,813,Global Attack,2011
441,814,Total Dysfunctional Collapse,1995
442,814,Garden Variety Manic Depressant,1997
443,822,A Rude Awakening,2015
444,823,The Sun Shines Black,2003
445,823,Essence of Distress,2006
446,826,Kegztaump,2010
447,826,Alcoholics Unanimous,2011
448,826,Intravenous Intoxication,2013
449,828,Flames of Wrath,2003
450,831,The Awakening of Madness,2012
451,837,Out of Sight,2008
452,840,Diabology,2009
453,844,Visiones nocturnas,2004
454,851,Once More,2012
455,852,Desecration,2008
456,852,Reborn into Carnage,2010
457,853,Obelisk,2011
458,855,Subconscious Terror,1990
459,855,The Grand Leveller,1991
460,855,Transcend the Rubicon,1993
461,855,The Dreams You Dread,1995
462,855,Grind Bastard,1998
463,855,Organised Chaos,2001
464,855,Killing Music,2008
465,862,Ingenious Encounter,2014
466,866,Symphony of the Suffering,2006
467,870,Perception Kills,2011
468,871,Schlachthof,2003
469,872,AkelDama,1998
470,872,Besieged,2004
471,875,Together We'll Destroy the World,1994
472,875,Bellum Contra Omnes,1996
473,875,The Second Coming,2004
474,875,Stop the Christianity!,2005
475,875,...ad Leones,2016
476,883,Sadistic Soul,2014
477,884,Lethal Venom,2005
478,884,Inferno Invert,2007
479,886,Infinite Circles,2016
480,887,In the Conspiracy,2003
481,889,Fatal Power of Death,2013
482,895,The Sleeper Awakens,2010
483,897,From Hell,2008
484,902,Naked Power,2014
485,905,Mind Scars,2015
486,906,Hallucinating in Resurrecture,2012
487,909,Horror Grind,2010
488,909,Miskatonic Massacre,2011
489,910,Osario terror,2010
490,911,Un-Album: Eternal Torments,2012
491,911,Un-Album: HellGate,2012
492,912,Oneeleven,2008
493,912,Clean the Ulcer,2011
494,913,Pains,1997
495,914,Silence Is Complete,2010
496,915,Human Obelisk,2012
497,916,In Tolerable Cruelty,2004
498,920,Disorder,2014
499,923,Synthetic Deity,2000
500,930,Everything Black Everything Dead,2014
501,931,It's Going Deeper,2012
502,931,Divine Touch,2016
503,939,The Forbidden Gates Beyond,2010
504,939,Into the Darkness Into the Void,2012
505,940,Super Nova,2010
506,943,Darkness Fills the Earth,2012
507,943,Rise of the Witch Queen,2016
508,944,The Human Condition,2011
509,949,The Rotten Ways of Human Misery,1992
510,952,Abominable cristianismo,1997
511,952,Pontificado e imperio,1999
512,952,El índice de los libros prohibidos,2006
513,958,Rest in Peace,1991
514,960,Infernal Warriors of Death,2011
515,963,Odd,2009
516,963,Collapse,2011
517,965,Glorified,2005
518,967,Tribulaciones,1993
519,967,En tu interior,1997
520,967,Por los siglos de los siglos,2001
521,971,Night Work,2013
522,979,Dismorphomania,1998
523,980,Ways to End,2006
524,980,Deviance,2014
525,981,Dawn of Oblivion,2000
526,988,Rehearsal,2004
527,992,Between Roots and Darkness,2016
528,996,Massacre the Holy,1994
529,999,Remnants,2010
530,1003,Perish,2015
531,1007,Heimwehr Schlesien,2008
532,1007,Ritter der schwarzen Sonne,2010
533,1007,Menschen inmitten von Ruinen,2012
534,1008,At the Height of the Storm,2012
535,1008,Godless Sandborn,2016
536,1011,Machine Made Flesh,2010
537,1012,Cutting the Director,2010
538,1013,Disfigured Vision,2012
539,1014,Unholy Forces of Death,2004
540,1015,Starspawn,2016
541,1020,Blood Mortized,2009
542,1020,The Key to a Black Heart,2012
543,1020,The Demon| the Angel| the Disease,2013
544,1023,Death Surrounds,2004
545,1023,Raped and Consumed,2010
546,1024,...a Dream to Remember,1997
547,1024,As the Rain Gently Falls (Anthology II),2002
548,1024,Breeding Chaos,2003
549,1026,Caustic Deathpath to Hell,2012
550,1027,The Shadow Before,2010
551,1028,Lethal Message,2004
552,1028,Smelteries of Damnation,2005
553,1029,Monument of Death,2001
554,1029,Affiliated with the Suffering,2003
555,1029,Altered Genesis,2005
556,1029,Come Death,2007
557,1029,Souls of Damnation,2009
558,1029,Brutalitarian Regime,2011
559,1029,Blood Red Throne,2013
560,1029,Union of Flesh and Machine,2016
561,1030,At the Mountains of Madness,1997
562,1030,Black Grimoire,2005
563,1031,Born from Hell,2013
564,1037,War for Blood,2013
565,1038,Resurrection Through Carnage,2002
566,1038,Nightmares Made Flesh,2004
567,1038,The Fathomless Mastery,2008
568,1038,Grand Morbid Funeral,2014
569,1042,Under the Evil Command,2011
570,1042,Dead Blood Madness,2014
571,1043,Bloodgasm,2003
572,1044,Bloodgeon,2016
573,1047,Nekrologikum Evangelikum Pt. I: Zombie Reign 2666 A.D.,2010
574,1047,Nekrologikum Evangelikum Pt.II: Furnace World,2011
575,1048,Infierno frío,2003
576,1051,The Vault,2011
577,1058,Meng-Amok,2012
578,1061,Bloodshed,2000
579,1061,Rising,2016
580,1065,The Hunger and the Agony,2014
581,1070,Tales from the Dissecting Table,2009
582,1070,Of Masters and Slaves,2012
583,1073,Not Dead... but Alive,1995
584,1074,Frost Image,1993
585,1075,Revenge Is Best Served with Blood,2007
586,1080,Dead and Hateful,2006
587,1080,Mind Reflection,2010
588,1084,In Death We Rot,2015
589,1086,Cross of Gold,1995
590,1091,Just Let Me Rot,2014
591,1092,World Without End,2014
592,1093,The Hate Effect,2011
593,1095,Ritual of Blood,2015
594,1097,Abstinence Syndrome,2014
595,1099,Still Alive,2005
596,1099,Leader,2013
597,1101,Hammertime!,2011
598,1102,Blood and Honor,2013
599,1106,Fall into the Apocalypse,2009
600,1106,News from the Morgue,2013
601,1117,Infinite Deprivation,2013
602,1118,Cabin of Horrors,2016
603,1120,Hate Crimes,1995
604,1121,Blunt Force Trauma,2004
605,1121,Decrepit Within,2007
606,1121,Human Ferox,2016
607,1123,Futile Creation,2014
608,1125,Curriculum Mortae,2008
609,1125,Disobedience,2013
610,1128,Malevolence,2012
611,1128,The Coming Scourge,2013
612,1128,Battle Breed,2015
613,1131,Taphonomy,2014
614,1132,Mental Sickness,2011
615,1134,In Battle There Is No Law!,1988
616,1134,Realm of Chaos: Slaves to Darkness,1989
617,1134,War Master,1991
618,1134,The IVth Crusade,1992
619,1134,...for Victory,1994
620,1134,Mercenary,1998
621,1134,Honour - Valour - Pride,2001
622,1134,Those Once Loyal,2005
623,1136,Truth to Reality,2003
624,1136,Killing Spree,2006
625,1137,Feast of Flesh,2009
626,1137,Cannibal Crematorium,2015
627,1145,Sawtopsy,2009
628,1145,The Illicit Revue,2013
629,1147,Global Collapse,2014
630,1148,Hidden Horizon,2014
631,1151,Hungry Are the Dead,2014
632,1151,The Horror,2016
633,1152,The Dead Howl Through Black Trees,2004
634,1156,Absolutely Nothing,2014
635,1158,Apocalypse Is Nigh,2007
636,1162,Cannibalistic Thoughts,2011
637,1164,Killer,2008
638,1165,Icons Above All Others,2010
639,1169,Born into Blasphemy,1999
640,1177,Pieces from Reality,1998
641,1179,Shadows of Fear,2004
642,1182,Merciless Mercenary,2003
643,1183,Various of Madness,2004
644,1183,Philosophy of a Failure,2006
645,1185,Heal Buried,2006
646,1185,Minds of Blind,2010
647,1188,Zero Point Mantra,2009
648,1188,Antitype,2012
649,1189,We Became Obsolete Humans,2011
650,1189,Desolation Is Coming,2013
651,1190,Execute the Innocent,2014
652,1191,Secured in Darkness,1997
653,1195,Existence Inside,2004
654,1195,Strangle the Neck,2006
655,1198,Swamped in Gore,1991
656,1198,The Bowels of Repugnance,1993
657,1198,Repulsive Conception,1995
658,1198,Loathing,1997
659,1198,Grotesque Blessings,1999
660,1198,Omen of Disease,2013
661,1204,Skinless Agony,2014
662,1207,The Claws of the Purgue,2015
663,1208,Chapter II: Mission to Exterminate Xenomorph Activity,2014
664,1211,Cunts of Disease,2011
665,1217,Fatallurgical,1998
666,1218,Libellus Dei,2011
667,1218,Freak Soldiers,2014
668,1219,BH,2016
669,1226,Hate over All,2008
670,1226,Death Row,2010
671,1226,...from Despotism to Chaos,2014
672,1228,Bruxos de Gadara,2006
673,1231,Carnal Abuse,1997
674,1232,Hellcatraz,2009
675,1232,Nemesis,2012
676,1234,Screams of Anguish,1993
677,1234,When the Sky Turns Black,1994
678,1234,In Mourning,1996
679,1234,Sea of Ignorance,2016
680,1236,Dead Lovers' Guide,2010
681,1236,Black Infernal Vortex,2014
682,1236,Satanic Corpse,2016
683,1238,Sophisticated Atrocity,2012
684,1238,Pillory,2014
685,1238,Henchmen,2016
686,1239,Killer Each of You,2002
687,1243,Wake Me When I'm Dead,2009
688,1243,In for the Kill,2011
689,1243,Psycho-Phrenic,2011
690,1243,There Shall Be More Death,2011
691,1244,Desert Ahead of Me,2011
692,1244,Fate Preset,2012
693,1245,Escaping from Yourself,2011
694,1245,Evaluation Machines,2014
695,1246,Day by Day,2008
696,1251,Relinquished Souls,1993
697,1256,Enlightened with Pain,2000
698,1256,Divinity Through Eradication,2009
699,1257,Left to Decay,2010
700,1261,Tower of Silence,2009
701,1261,Exterminating the Masses,2012
702,1261,Genocidal Theory,2015
703,1271,Black Death,2011
704,1271,Dicio,2016
705,1273,Burn My Remains,2006
706,1275,Unleash the Darkness,2008
707,1276,Satan Enthroned,2003
708,1276,Return of the Order,2006
709,1277,To Burn a False Prophet,2011
710,1278,The Cantarian Curse,2007
711,1278,7 Holy Crosses,2007
712,1280,Unconscious Deformity,2010
713,1280,New Chaos Order,2013
714,1281,Benih Kehancuran,2016
715,1282,Carnage,2016
716,1283,Resurrection Through Fire,2009
717,1285,Texas Blood,2007
718,1288,Reunión de brujos,2011
719,1288,El pelapecho,2014
720,1289,Meat,1999
721,1305,Death Metal Show,2010
722,1305,Matadero de zorras,2013
723,1305,Sadismo Post Porno,2016
724,1307,Fullmoon Ritual,2001
725,1307,The Demoniac Invocation,2004
726,1307,Tales of Demoncy,2007
727,1308,Holocausto,2014
728,1311,May All Be Dead,2013
729,1312,Colección de humanos,2007
730,1313,Carnasyum,2007
731,1313,Anger Castles,2008
732,1316,Resurrection,2007
733,1327,Hide in Details,2002
734,1330,The Extinction Agenda,1994
735,1335,Enter the Morgue,2013
736,1337,Mass Emission,2003
737,1337,Clones of Industry,2009
738,1337,The Lost Conveyance,2014
739,1339,Genesis Dementiae,2009
740,1342,Tormenting Attractions,2015
741,1343,Blood Fueled Chaos,2010
742,1348,El-Alamein,2004
743,1348,Sacrilege of Humanity,2010
744,1348,Fading Reliefs,2014
745,1349,Potęga nienawiści,1999
746,1351,Malevolent Invention,2015
747,1352,Jesus| Intense Weeping,1994
748,1352,Serpent,2009
749,1353,Like This or We'll Kill You,2012
750,1353,Sonically Transmitted Disease,2012
751,1354,Animated Pictures in a Spiraling Mind,2006
752,1355,Catastrophic Rise,2016
753,1356,At the Portal of the Evoked  Blasphemies,2012
754,1364,Blunted at Birth,2006
755,1364,Tube of the Resinated,2008
756,1364,Beneath Grow Lights Thou Shalt Rise,2011
757,1364,From Wisdom to Baked,2014
758,1367,Eaten Back to Life,1990
759,1367,Butchered at Birth,1991
760,1367,Tomb of the Mutilated,1992
761,1367,The Bleeding,1994
762,1367,Vile,1996
763,1367,Gallery of Suicide,1998
764,1367,Bloodthirst,1999
765,1367,Gore Obsessed,2002
766,1367,The Wretched Spawn,2004
767,1367,Kill,2006
768,1367,Evisceration Plague,2009
769,1367,Torture,2012
770,1367,A Skeletal Domain,2014
771,1376,The Colours of Silence,2002
772,1381,Desenterrando a los muertos,2012
773,1382,The Good Must Suffer the Wicked,2011
774,1390,Metastasis,2009
775,1392,Morgue Mutilations,2006
776,1392,Cadaverous Presence,2008
777,1392,Haven for the Insane,2010
778,1392,Vortex of Violence,2012
779,1392,And Death Shall Set You Free,2014
780,1400,Let the Carnage Begin,2011
781,1401,Dark Recollections,1990
782,1403,Sórido engendro,2007
783,1406,Violence Demonstration,2011
784,1408,Soul Burning Hatred,2016
785,1412,2012,2009
786,1415,Papyral Slashing,2009
787,1418,Utter Depression,2014
788,1419,Rotten Remains,2016
789,1421,Terminus,2015
790,1433,Slaughterlust,2016
791,1434,In Todes Banden,2001
792,1437,Revival,2012
793,1437,No Truth Found,2014
794,1442,The End of God,2012
795,1445,Revelations,2012
796,1453,Stultifera Navis,2012
797,1453,Anti-Platonic Machinery,2015
798,1454,Stillborn Revelations,2002
799,1454,Revel in Human Filth,2004
800,1455,As Seen Through Tears,1997
801,1457,Under the Surface,1998
802,1457,Upright Decay,2008
803,1457,Undead Soil,2013
804,1461,Gospels of Scum,2016
805,1463,In the Gardens of Vermin,2015
806,1466,Dark Winds Descending,2005
807,1467,From the Bowels of Hell,2005
808,1475,Pain Performance,2006
809,1475,Still Suffering,2008
810,1484,Putressence,2007
811,1484,Fleshgrave,2013
812,1486,Katharma,2011
813,1486,Presbere,2013
814,1488,The Cleansing,2001
815,1488,Pathology of Murder,2008
816,1492,Eradication of Humanity,2008
817,1497,Serpentine,2010
818,1499,Thanks God for the Suffering,2010
819,1503,...Is Still Unknown,2006
820,1505,Rebirth of Procreation,1999
821,1505,The Horror Cult,2005
822,1505,Hate Generation,2015
823,1512,Hämbyrgür,2016
824,1514,Vigário Maldito,2012
825,1523,No End of Possibility,2002
826,1527,Urn of Blood,2007
827,1527,The Conquered Are Burned,2010
828,1531,Genocide Crusade,2016
829,1534,Thirteen Threnodies,1994
830,1539,In-Existence,2006
831,1541,Aegaeon,2012
832,1542,Subconscious Lobotomy,1992
833,1542,Reflections,1997
834,1542,Reborn Through Flames,1998
835,1542,Hellbrigade,2000
836,1542,Diabolical Desolation,2002
837,1542,Decadence - Prophecies of Cosmic Chaos,2004
838,1542,World Declension,2005
839,1542,Redeeming Filth,2014
840,1542,Doomsday Rituals,2016
841,1543,Choronzonic Chaos Gods,1999
842,1543,Liber Zar Zax,2001
843,1543,Contra Rationem,2013
844,1544,Conquer & Rule,2002
845,1544,Serve No One,2012
846,1549,Ebola,2002
847,1549,Redemption of Demigod,2010
